graph,nodes,edges,min_cut,edges_to_remove,solutions_tested,basic_operations,time_elapsed
Graph_13_12_2,13,12,1,"{(0, 9)}",26,343,0.0
Graph_13_12_3,13,12,1,"{(7, 12)}",26,343,0.0
Graph_13_12_4,13,12,1,"{(9, 11)}",26,343,0.0
Graph_13_20_0,13,20,1,"{(4, 7)}",26,407,0.0
Graph_13_20_1,13,20,1,"{(3, 8)}",26,407,0.0
Graph_13_20_2,13,20,2,"{(4, 9), (9, 11)}",26,407,0.0
Graph_13_20_3,13,20,1,"{(7, 9)}",26,407,0.0
Graph_13_20_4,13,20,1,"{(9, 11)}",26,407,0.0
Graph_13_40_0,13,40,3,"{(3, 10), (3, 11), (3, 6)}",26,567,0.0
Graph_13_40_1,13,40,2,"{(2, 9), (1, 2)}",39,857,0.0
Graph_13_40_2,13,40,3,"{(0, 8), (8, 9), (6, 8)}",26,567,0.0
Graph_13_40_3,13,40,2,"{(2, 11), (6, 11)}",26,567,0.0
Graph_13_40_4,13,40,4,"{(2, 9), (1, 2), (2, 11), (2, 7)}",26,567,0.0
Graph_13_59_0,13,59,7,"{(1, 5), (5, 8), (5, 7), (4, 5), (5, 6), (0, 5), (5, 12)}",26,719,0.0
Graph_13_59_1,13,59,6,"{(4, 9), (9, 12), (0, 9), (3, 9), (9, 11), (1, 9)}",26,719,0.0
Graph_13_59_2,13,59,7,"{(5, 11), (6, 11), (1, 11), (7, 11), (2, 11), (0, 11), (3, 11)}",26,719,0.0
Graph_13_59_3,13,59,7,"{(10, 11), (0, 10), (7, 10), (2, 10), (3, 10), (6, 10), (1, 10)}",26,719,0.0
Graph_13_59_4,13,59,7,"{(6, 12), (9, 12), (4, 12), (7, 12), (2, 12), (3, 12), (5, 12)}",26,719,0.0
Graph_13_78_0,13,78,12,"{(10, 11), (5, 11), (6, 11), (1, 11), (11, 12), (8, 11), (9, 11), (4, 11), (7, 11), (2, 11), (0, 11), (3, 11)}",26,871,0.0
Graph_14_13_0,14,13,1,"{(1, 10)}",28,384,0.0
Graph_14_13_1,14,13,1,"{(10, 11)}",28,384,0.0
Graph_14_13_2,14,13,1,"{(0, 10)}",28,384,0.0
Graph_14_13_3,14,13,1,"{(10, 12)}",28,384,0.0
Graph_14_13_4,14,13,1,"{(9, 13)}",28,384,0.0
Graph_14_23_0,14,23,1,"{(0, 9)}",56,942,0.0
Graph_14_23_1,14,23,1,"{(8, 10)}",28,464,0.0
Graph_14_23_2,14,23,1,"{(3, 7)}",28,464,0.0
Graph_14_23_3,14,23,2,"{(6, 12), (2, 8)}",42,703,0.0
Graph_14_23_4,14,23,1,"{(2, 12)}",42,703,0.0
Graph_14_46_0,14,46,2,"{(3, 13), (3, 10)}",28,648,0.0
Graph_14_46_1,14,46,4,"{(0, 13), (6, 13), (12, 13), (7, 13)}",28,648,0.0
Graph_14_46_2,14,46,4,"{(6, 12), (5, 12), (10, 12), (2, 12)}",28,648,0.0
Graph_14_46_3,14,46,4,"{(12, 13), (5, 12), (4, 12), (2, 12)}",28,648,0.0
Graph_14_46_4,14,46,4,"{(2, 10), (1, 2), (2, 11), (2, 7)}",28,648,0.0017466545104980469
Graph_14_69_0,14,69,8,"{(9, 13), (4, 13), (0, 13), (11, 13), (7, 13), (2, 13), (3, 13), (6, 13)}",28,832,0.0
Graph_14_69_1,14,69,8,"{(5, 8), (5, 7), (4, 5), (5, 10), (0, 5), (5, 9), (5, 12), (3, 5)}",28,832,0.0
Graph_14_69_2,14,69,8,"{(1, 2), (2, 7), (2, 10), (2, 13), (2, 3), (2, 9), (0, 2), (2, 11)}",28,832,0.0
Graph_14_69_3,14,69,6,"{(1, 2), (1, 8), (1, 7), (1, 6), (1, 3), (1, 9)}",28,832,0.0
Graph_14_69_4,14,69,8,"{(9, 10), (4, 9), (9, 11), (7, 9), (2, 9), (3, 9), (5, 9), (1, 9)}",28,832,0.0
Graph_14_91_0,14,91,13,"{(10, 11), (5, 11), (6, 11), (1, 11), (11, 13), (11, 12), (8, 11), (9, 11), (4, 11), (7, 11), (2, 11), (0, 11), (3, 11)}",28,1008,0.0
Graph_15_14_0,15,14,1,"{(3, 10)}",30,427,0.0
Graph_15_14_1,15,14,1,"{(9, 10)}",30,427,0.0
Graph_15_14_2,15,14,1,"{(7, 12)}",30,427,0.0
Graph_15_14_3,15,14,1,"{(11, 12)}",30,427,0.0
Graph_15_14_4,15,14,1,"{(1, 4)}",30,427,0.0
Graph_15_27_0,15,27,1,"{(2, 5)}",30,531,0.0
Graph_15_27_1,15,27,1,"{(0, 10)}",30,531,0.0
Graph_15_27_2,15,27,2,"{(9, 13), (12, 13)}",30,531,0.0
Graph_15_27_3,15,27,1,"{(2, 3)}",60,1077,0.0
Graph_15_27_4,15,27,2,"{(1, 7), (1, 13)}",30,531,0.0
Graph_15_53_0,15,53,4,"{(5, 7), (2, 5), (0, 5), (1, 5)}",30,739,0.0
Graph_15_53_1,15,53,6,"{(6, 12), (12, 13), (0, 12), (7, 12), (2, 12), (8, 12)}",30,739,0.0
Graph_15_53_2,15,53,5,"{(1, 7), (1, 10), (1, 6), (1, 3), (1, 9)}",30,739,0.0
Graph_15_53_3,15,53,5,"{(10, 11), (2, 10), (8, 10), (3, 10), (6, 10)}",30,739,0.0
Graph_15_53_4,15,53,4,"{(8, 14), (3, 8), (8, 9), (6, 8)}",30,739,0.0
Graph_15_79_0,15,79,9,"{(0, 7), (3, 7), (5, 7), (7, 9), (1, 7), (7, 12), (7, 11), (4, 7), (7, 14)}",30,947,0.0
Graph_15_79_1,15,79,8,"{(1, 2), (1, 4), (1, 7), (1, 13), (1, 10), (1, 6), (1, 3), (1, 9)}",30,947,0.0
Graph_15_79_2,15,79,9,"{(8, 14), (3, 8), (5, 8), (6, 8), (8, 10), (8, 13), (8, 9), (8, 12), (8, 11)}",30,947,0.0
Graph_15_79_3,15,79,7,"{(2, 14), (2, 4), (1, 2), (2, 10), (2, 9), (2, 5), (2, 8)}",30,947,0.0
Graph_15_79_4,15,79,8,"{(2, 4), (0, 4), (3, 4), (4, 6), (1, 4), (4, 8), (4, 14), (4, 11)}",30,947,0.0
