graph,nodes,edges,min_cut,edges_to_remove,solutions_tested,basic_operations,time_elapsed
Graph_19_86_0,19,86,4,"{(14, 18), (17, 18), (10, 18), (13, 18)}",4,162,0.005079984664916992
Graph_19_86_1,19,86,5,"{(2, 4), (2, 13), (2, 9), (2, 6), (2, 11)}",5,205,0.0
Graph_19_86_2,19,86,5,"{(0, 7), (0, 4), (0, 13), (0, 15), (0, 11)}",5,205,0.0
Graph_19_86_3,19,86,5,"{(8, 14), (8, 17), (5, 8), (4, 8), (2, 8)}",5,205,0.0
Graph_19_86_4,19,86,6,"{(10, 15), (15, 17), (9, 15), (15, 16), (0, 15), (11, 15)}",6,249,0.0
Graph_19_129_0,19,129,10,"{(6, 12), (6, 15), (6, 8), (6, 14), (6, 17), (2, 6), (5, 6), (6, 16), (1, 6), (6, 9)}",10,435,0.0
Graph_19_129_1,19,129,11,"{(2, 14), (2, 4), (1, 2), (2, 17), (2, 7), (2, 10), (2, 16), (2, 13), (2, 3), (2, 15), (2, 8)}",11,484,0.0
Graph_19_129_2,19,129,10,"{(10, 15), (1, 15), (15, 17), (15, 16), (0, 15), (12, 15), (7, 15), (2, 15), (13, 15), (8, 15)}",10,435,0.0
Graph_19_129_3,19,129,11,"{(2, 14), (2, 4), (1, 2), (2, 17), (2, 7), (2, 10), (2, 3), (2, 9), (0, 2), (2, 6), (2, 15)}",11,484,0.0
Graph_19_129_4,19,129,10,"{(3, 8), (3, 14), (3, 4), (3, 7), (0, 3), (3, 16), (2, 3), (3, 9), (3, 12), (3, 5)}",10,435,0.0
Graph_19_171_0,19,171,18,"{(0, 1), (0, 7), (0, 4), (0, 10), (0, 16), (0, 13), (0, 3), (0, 9), (0, 6), (0, 12), (0, 2), (0, 15), (0, 5), (0, 18), (0, 8), (0, 14), (0, 11), (0, 17)}",18,855,0.0028352737426757812
Graph_20_24_0,20,24,1,"{(1, 4)}",1,41,0.0
Graph_20_24_1,20,24,1,"{(0, 19)}",1,41,0.0
Graph_20_24_2,20,24,1,"{(0, 1)}",1,41,0.0
Graph_20_24_3,20,24,1,"{(5, 11)}",1,41,0.0
Graph_20_24_4,20,24,1,"{(1, 14)}",1,41,0.0
Graph_20_48_0,20,48,1,"{(11, 17)}",1,41,0.0
Graph_20_48_1,20,48,3,"{(2, 9), (0, 2), (2, 16)}",3,126,0.0
Graph_20_48_2,20,48,3,"{(0, 1), (0, 10), (0, 11)}",3,126,0.0
Graph_20_48_3,20,48,3,"{(5, 14), (1, 5), (5, 19)}",3,126,0.0
Graph_20_48_4,20,48,2,"{(8, 14), (7, 8)}",2,83,0.0
Graph_20_96_0,20,96,7,"{(6, 14), (6, 17), (2, 6), (5, 6), (6, 16), (1, 6), (6, 9)}",7,308,0.0
Graph_20_96_1,20,96,6,"{(2, 4), (2, 13), (2, 19), (2, 9), (2, 5), (2, 11)}",6,261,0.0
Graph_20_96_2,20,96,5,"{(4, 9), (9, 15), (9, 18), (9, 17), (1, 9)}",5,215,0.0
Graph_20_96_3,20,96,5,"{(8, 14), (3, 8), (5, 8), (8, 15), (2, 8)}",5,215,0.0
Graph_20_96_4,20,96,6,"{(0, 13), (11, 13), (8, 13), (3, 13), (6, 13), (13, 15)}",6,261,0.0
Graph_20_143_0,20,143,12,"{(3, 14), (14, 17), (10, 14), (6, 14), (1, 14), (14, 16), (14, 19), (4, 14), (14, 18), (11, 14), (12, 14), (7, 14)}",12,558,0.0
Graph_20_143_1,20,143,11,"{(0, 1), (0, 7), (0, 4), (0, 16), (0, 13), (0, 9), (0, 6), (0, 15), (0, 5), (0, 18), (0, 11)}",11,506,0.0
Graph_20_143_2,20,143,12,"{(0, 1), (1, 12), (1, 18), (1, 2), (1, 5), (1, 11), (1, 14), (1, 17), (1, 13), (1, 10), (1, 19), (1, 3)}",12,558,0.0
Graph_20_143_3,20,143,12,"{(1, 12), (1, 18), (1, 2), (1, 15), (1, 5), (1, 11), (1, 4), (1, 7), (1, 10), (1, 6), (1, 19), (1, 3)}",12,558,0.0
Graph_20_143_4,20,143,11,"{(1, 3), (3, 8), (3, 14), (3, 4), (3, 17), (3, 7), (0, 3), (2, 3), (3, 9), (3, 15), (3, 5)}",11,506,0.0
Graph_20_190_0,20,190,19,"{(0, 2), (0, 5), (0, 8), (0, 14), (0, 11), (0, 17), (0, 1), (0, 7), (0, 4), (0, 10), (0, 16), (0, 13), (0, 19), (0, 3), (0, 9), (0, 6), (0, 12), (0, 15), (0, 18)}",19,950,0.0
Graph_21_27_0,21,27,1,"{(6, 16)}",1,43,0.0
Graph_21_27_1,21,27,1,"{(2, 5)}",1,43,0.0
Graph_21_27_2,21,27,1,"{(1, 11)}",1,43,0.0
Graph_21_27_3,21,27,1,"{(1, 19)}",1,43,0.0
Graph_21_27_4,21,27,1,"{(0, 18)}",1,43,0.0
Graph_21_53_0,21,53,3,"{(2, 6), (6, 10), (6, 17)}",3,132,0.0
Graph_21_53_1,21,53,3,"{(0, 1), (0, 10), (0, 11)}",3,132,0.0
Graph_21_53_2,21,53,2,"{(2, 5), (5, 16)}",2,87,0.0
Graph_21_53_3,21,53,3,"{(0, 15), (0, 4), (0, 6)}",3,132,0.0
Graph_21_53_4,21,53,2,"{(7, 14), (4, 14)}",2,87,0.0
Graph_21_106_0,21,106,7,"{(5, 15), (5, 13), (5, 10), (5, 6), (0, 5), (2, 5), (5, 12)}",7,322,0.0
Graph_21_106_1,21,106,6,"{(6, 13), (2, 6), (6, 10), (6, 16), (6, 19), (6, 9)}",6,273,0.005808591842651367
Graph_21_106_2,21,106,6,"{(0, 4), (0, 13), (0, 6), (0, 18), (0, 8), (0, 11)}",6,273,0.0
Graph_21_106_3,21,106,6,"{(5, 8), (8, 10), (8, 16), (4, 8), (8, 12), (2, 8)}",6,273,0.0
Graph_21_106_4,21,106,8,"{(5, 11), (11, 16), (7, 11), (9, 11), (4, 11), (11, 14), (8, 11), (3, 11)}",8,372,0.0
Graph_21_158_0,21,158,12,"{(9, 16), (16, 20), (12, 16), (2, 16), (13, 16), (14, 16), (3, 16), (15, 16), (10, 16), (6, 16), (16, 18), (16, 17)}",12,582,0.0
Graph_21_158_1,21,158,10,"{(5, 8), (1, 5), (5, 7), (5, 13), (5, 20), (4, 5), (5, 6), (0, 5), (5, 9), (5, 12)}",10,475,0.0
Graph_21_158_2,21,158,13,"{(13, 14), (3, 14), (14, 17), (0, 14), (6, 14), (1, 14), (14, 20), (14, 16), (14, 19), (4, 14), (11, 14), (12, 14), (7, 14)}",13,637,0.0
Graph_21_158_3,21,158,12,"{(5, 15), (5, 14), (5, 17), (5, 7), (5, 13), (5, 20), (5, 10), (0, 5), (5, 9), (2, 5), (3, 5), (5, 18)}",12,582,0.0
Graph_21_158_4,21,158,12,"{(9, 10), (9, 16), (9, 19), (4, 9), (9, 12), (2, 9), (8, 9), (9, 14), (9, 11), (9, 17), (6, 9), (9, 20)}",12,582,0.0
Graph_21_210_0,21,210,20,"{(0, 2), (0, 5), (0, 8), (0, 14), (0, 11), (0, 17), (0, 20), (0, 1), (0, 7), (0, 4), (0, 10), (0, 16), (0, 13), (0, 19), (0, 3), (0, 9), (0, 6), (0, 12), (0, 15), (0, 18)}",20,1050,0.0016243457794189453
Graph_22_29_0,22,29,1,"{(4, 12)}",1,45,0.0
Graph_22_29_1,22,29,1,"{(1, 2)}",1,45,0.0
Graph_22_29_2,22,29,1,"{(0, 19)}",1,45,0.0
Graph_22_29_3,22,29,1,"{(4, 12)}",1,45,0.0
Graph_22_29_4,22,29,1,"{(1, 8)}",1,45,0.0
Graph_22_58_0,22,58,1,"{(8, 11)}",1,45,0.0
Graph_22_58_1,22,58,2,"{(1, 13), (10, 13)}",2,91,0.0
Graph_22_58_2,22,58,2,"{(17, 19), (17, 21)}",2,91,0.0
Graph_22_58_3,22,58,2,"{(11, 13), (11, 19)}",2,91,0.0
Graph_22_58_4,22,58,2,"{(0, 21), (0, 11)}",2,91,0.0
Graph_22_116_0,22,116,8,"{(2, 4), (3, 4), (4, 9), (4, 15), (4, 8), (4, 14), (4, 11), (4, 20)}",8,388,0.0
Graph_22_116_1,22,116,7,"{(6, 21), (6, 11), (6, 17), (2, 6), (5, 6), (6, 16), (6, 9)}",7,336,0.0
Graph_22_116_2,22,116,7,"{(0, 1), (0, 4), (0, 16), (0, 13), (0, 6), (0, 21), (0, 5)}",7,336,0.0
Graph_22_116_3,22,116,9,"{(0, 20), (0, 4), (0, 13), (0, 19), (0, 9), (0, 2), (0, 8), (0, 11), (0, 17)}",9,441,0.0
Graph_22_116_4,22,116,7,"{(0, 7), (7, 17), (3, 7), (7, 10), (7, 13), (7, 19), (7, 14)}",7,336,0.0014264583587646484
Graph_22_174_0,22,174,13,"{(0, 1), (0, 7), (0, 10), (0, 13), (0, 3), (0, 9), (0, 6), (0, 12), (0, 2), (0, 21), (0, 5), (0, 8), (0, 11)}",13,663,0.0
Graph_22_174_1,22,174,12,"{(16, 20), (11, 20), (17, 20), (18, 20), (7, 20), (13, 20), (8, 20), (14, 20), (2, 20), (15, 20), (9, 20), (20, 21)}",12,606,0.0025167465209960938
Graph_22_174_2,22,174,12,"{(4, 19), (11, 19), (19, 20), (17, 19), (7, 19), (2, 19), (8, 19), (14, 19), (3, 19), (15, 19), (10, 19), (5, 19)}",12,606,0.003417491912841797
Graph_22_174_3,22,174,13,"{(3, 8), (3, 14), (3, 4), (3, 17), (3, 7), (3, 15), (3, 16), (2, 3), (3, 9), (3, 6), (3, 18), (1, 3), (3, 5)}",13,663,0.0
Graph_22_174_4,22,174,10,"{(10, 21), (5, 21), (9, 21), (4, 21), (0, 21), (11, 21), (17, 21), (12, 21), (8, 21), (14, 21)}",10,495,0.0
Graph_22_231_0,22,231,21,"{(0, 2), (0, 5), (0, 8), (0, 14), (0, 11), (0, 17), (0, 20), (0, 1), (0, 7), (0, 4), (0, 10), (0, 16), (0, 13), (0, 19), (0, 3), (0, 9), (0, 6), (0, 12), (0, 15), (0, 21), (0, 18)}",21,1155,0.0
Graph_23_32_0,23,32,1,"{(3, 14)}",1,47,0.0
Graph_23_32_1,23,32,1,"{(8, 14)}",1,47,0.0
Graph_23_32_2,23,32,1,"{(3, 4)}",1,47,0.0
Graph_23_32_3,23,32,1,"{(11, 16)}",1,47,0.0
Graph_23_32_4,23,32,1,"{(2, 7)}",1,47,0.0
Graph_23_64_0,23,64,1,"{(8, 11)}",1,47,0.0
Graph_23_64_1,23,64,2,"{(1, 13), (10, 13)}",2,95,0.0
Graph_23_64_2,23,64,3,"{(4, 17), (7, 17), (17, 21)}",3,144,0.0
Graph_23_64_3,23,64,3,"{(9, 16), (13, 16), (6, 16)}",3,144,0.0
Graph_23_64_4,23,64,1,"{(0, 13)}",1,47,0.0
Graph_23_127_0,23,127,6,"{(2, 4), (3, 4), (4, 22), (4, 21), (4, 8), (4, 14)}",6,297,0.0
Graph_23_127_1,23,127,7,"{(9, 16), (16, 20), (12, 16), (15, 16), (5, 16), (16, 21), (6, 16)}",7,350,0.006127357482910156
Graph_23_127_2,23,127,6,"{(9, 19), (17, 19), (18, 19), (3, 19), (10, 19), (19, 21)}",6,297,0.0
Graph_23_127_3,23,127,7,"{(4, 16), (4, 13), (4, 19), (4, 9), (4, 18), (4, 8), (4, 11)}",7,350,0.0018205642700195312
Graph_23_127_4,23,127,7,"{(5, 15), (6, 15), (1, 15), (15, 17), (7, 15), (2, 15), (15, 18)}",7,350,0.00445246696472168
Graph_23_190_0,23,190,12,"{(2, 4), (0, 4), (4, 13), (3, 4), (4, 9), (4, 22), (4, 15), (4, 21), (4, 8), (4, 14), (4, 7), (4, 20)}",12,630,0.0
Graph_23_190_1,23,190,13,"{(6, 18), (18, 20), (7, 18), (13, 18), (9, 18), (4, 18), (16, 18), (0, 18), (3, 18), (17, 18), (15, 18), (10, 18), (5, 18)}",13,689,0.0
Graph_23_190_2,23,190,12,"{(10, 21), (5, 21), (6, 21), (9, 21), (4, 21), (16, 21), (11, 21), (0, 21), (3, 21), (13, 21), (8, 21), (14, 21)}",12,630,0.0
Graph_23_190_3,23,190,13,"{(1, 12), (9, 12), (12, 13), (4, 12), (11, 12), (12, 22), (0, 12), (7, 12), (2, 12), (12, 21), (12, 18), (10, 12), (12, 14)}",13,689,0.0
Graph_23_190_4,23,190,12,"{(13, 14), (9, 13), (4, 13), (13, 20), (11, 13), (7, 13), (10, 13), (13, 19), (3, 13), (1, 13), (13, 22), (13, 15)}",12,630,0.002068758010864258
Graph_23_253_0,23,253,22,"{(0, 2), (0, 5), (0, 8), (0, 14), (0, 11), (0, 17), (0, 20), (0, 1), (0, 7), (0, 4), (0, 10), (0, 16), (0, 13), (0, 19), (0, 22), (0, 3), (0, 9), (0, 6), (0, 12), (0, 15), (0, 21), (0, 18)}",22,1265,0.005147218704223633
Graph_24_35_0,24,35,1,"{(6, 7)}",1,49,0.0
Graph_24_35_1,24,35,1,"{(1, 6)}",1,49,0.0
Graph_24_35_2,24,35,1,"{(3, 5)}",1,49,0.0
Graph_24_35_3,24,35,1,"{(4, 10)}",1,49,0.0
Graph_24_35_4,24,35,1,"{(1, 6)}",1,49,0.0
Graph_24_70_0,24,70,1,"{(8, 11)}",1,49,0.0
Graph_24_70_1,24,70,3,"{(2, 3), (2, 9), (2, 15)}",3,150,0.0
Graph_24_70_2,24,70,3,"{(2, 22), (2, 12), (2, 19)}",3,150,0.0
Graph_24_70_3,24,70,3,"{(6, 7), (6, 10), (6, 16)}",3,150,0.0
Graph_24_70_4,24,70,2,"{(6, 18), (4, 6)}",2,99,0.0
Graph_24_139_0,24,139,8,"{(5, 8), (5, 17), (4, 5), (5, 6), (5, 19), (2, 5), (5, 12), (5, 18)}",8,420,0.0
Graph_24_139_1,24,139,8,"{(6, 15), (6, 21), (6, 13), (6, 10), (5, 6), (6, 16), (6, 9), (6, 22)}",8,420,0.0
Graph_24_139_2,24,139,4,"{(18, 19), (19, 21), (10, 19), (17, 19)}",4,202,0.0
Graph_24_139_3,24,139,7,"{(3, 14), (14, 20), (1, 14), (14, 19), (4, 14), (11, 14), (7, 14)}",7,364,0.0
Graph_24_139_4,24,139,8,"{(0, 1), (1, 5), (1, 20), (1, 4), (1, 23), (1, 7), (1, 19), (1, 3)}",8,420,0.0
Graph_24_208_0,24,208,14,"{(2, 4), (4, 23), (3, 4), (4, 13), (4, 9), (4, 22), (1, 4), (4, 15), (4, 21), (4, 5), (4, 8), (4, 14), (4, 11), (4, 7)}",14,777,0.0
