graph,nodes,edges,min_cut,edges_to_remove,solutions_tested,basic_operations,time_elapsed
Graph_15_14_3,15,14,1,"{(3, 12)}",45,15527,0.005774259567260742
Graph_15_14_4,15,14,1,"{(0, 10)}",45,15527,0.0063784122467041016
Graph_15_27_0,15,27,1,"{(2, 5)}",30,15423,0.006219148635864258
Graph_15_27_1,15,27,1,"{(0, 10)}",30,15423,0.0061855316162109375
Graph_15_27_2,15,27,4,"{(7, 10), (10, 11), (8, 10), (1, 10)}",45,15696,0.006689548492431641
Graph_15_27_3,15,27,1,"{(2, 3)}",30,15423,0.006682157516479492
Graph_15_27_4,15,27,2,"{(6, 14), (2, 6)}",30,15423,0.006048440933227539
Graph_15_53_0,15,53,4,"{(5, 7), (2, 5), (0, 5), (1, 5)}",30,15657,0.007579326629638672
Graph_15_53_1,15,53,5,"{(0, 1), (1, 2), (1, 8), (1, 10), (1, 9)}",30,15657,0.0033173561096191406
Graph_15_53_2,15,53,5,"{(9, 10), (4, 9), (8, 9), (9, 14), (1, 9)}",30,15657,0.00824427604675293
Graph_15_53_3,15,53,5,"{(10, 11), (2, 10), (8, 10), (3, 10), (6, 10)}",30,15657,0.008045196533203125
Graph_15_53_4,15,53,4,"{(8, 14), (3, 8), (8, 9), (6, 8)}",45,16034,0.007474184036254883
Graph_15_79_0,15,79,9,"{(5, 11), (1, 5), (5, 8), (5, 7), (4, 5), (5, 6), (0, 5), (2, 5), (5, 12)}",30,15891,0.009102106094360352
Graph_15_79_1,15,79,8,"{(1, 2), (1, 4), (1, 7), (1, 13), (1, 10), (1, 6), (1, 3), (1, 9)}",30,15891,0.009259462356567383
Graph_15_79_2,15,79,9,"{(6, 11), (6, 8), (4, 6), (6, 14), (6, 7), (5, 6), (6, 10), (3, 6), (1, 6)}",30,15891,0.00814509391784668
Graph_15_79_3,15,79,7,"{(2, 14), (2, 4), (1, 2), (2, 10), (2, 9), (2, 5), (2, 8)}",30,15891,0.008252143859863281
Graph_15_79_4,15,79,8,"{(2, 4), (0, 4), (3, 4), (4, 6), (1, 4), (4, 8), (4, 14), (4, 11)}",30,15891,0.0034699440002441406
Graph_15_105_0,15,105,14,"{(6, 12), (6, 11), (6, 8), (4, 6), (6, 14), (0, 6), (6, 7), (6, 13), (2, 6), (5, 6), (6, 10), (3, 6), (1, 6), (6, 9)}",30,16125,0.009374618530273438
Graph_16_16_0,16,16,1,"{(0, 4)}",32,16352,0.0037031173706054688
Graph_16_16_1,16,16,1,"{(0, 7)}",32,16352,0.005909442901611328
Graph_16_16_2,16,16,1,"{(8, 14)}",32,16352,0.005270242691040039
Graph_16_16_3,16,16,1,"{(0, 3)}",32,16352,0.005473613739013672
Graph_16_16_4,16,16,1,"{(2, 7)}",32,16352,0.0058786869049072266
Graph_16_31_0,16,31,2,"{(6, 15), (5, 6)}",32,16487,0.005006313323974609
Graph_16_31_1,16,31,1,"{(9, 13)}",32,16487,0.005563259124755859
Graph_16_31_2,16,31,2,"{(11, 14), (7, 14)}",48,16795,0.004979848861694336
Graph_16_31_3,16,31,2,"{(11, 12), (3, 11)}",32,16487,0.0053975582122802734
Graph_16_31_4,16,31,1,"{(2, 4)}",32,16487,0.0057718753814697266
Graph_16_61_0,16,61,2,"{(11, 12), (3, 11)}",32,16757,0.007828235626220703
Graph_16_61_1,16,61,4,"{(2, 9), (2, 11), (2, 15), (2, 13)}",48,17185,0.0071563720703125
Graph_16_61_2,16,61,5,"{(3, 8), (3, 14), (3, 10), (2, 3), (3, 11)}",48,17185,0.008231401443481445
Graph_16_61_3,16,61,5,"{(10, 15), (10, 11), (7, 10), (3, 10), (10, 12)}",32,16757,0.007988691329956055
Graph_16_61_4,16,61,4,"{(8, 15), (8, 14), (5, 8), (2, 8)}",32,16757,0.00823664665222168
Graph_16_91_0,16,91,10,"{(10, 11), (6, 11), (1, 11), (11, 12), (9, 11), (4, 11), (7, 11), (2, 11), (8, 11), (3, 11)}",32,17027,0.009220123291015625
Graph_16_91_1,16,91,7,"{(2, 4), (2, 10), (2, 13), (2, 6), (2, 15), (2, 5), (2, 11)}",32,17027,0.010236263275146484
Graph_16_91_2,16,91,9,"{(4, 10), (0, 10), (10, 14), (2, 10), (8, 10), (10, 13), (6, 10), (1, 10), (10, 12)}",32,17027,0.008888006210327148
Graph_16_91_3,16,91,10,"{(6, 12), (9, 12), (0, 12), (7, 12), (2, 12), (12, 15), (3, 12), (10, 12), (5, 12), (12, 14)}",32,17027,0.009488344192504883
Graph_16_91_4,16,91,9,"{(3, 8), (3, 14), (3, 4), (0, 3), (2, 3), (3, 9), (3, 12), (1, 3), (3, 5)}",32,17027,0.010428428649902344
Graph_16_120_0,16,120,15,"{(0, 7), (2, 7), (3, 7), (7, 10), (7, 13), (5, 7), (7, 9), (6, 7), (1, 7), (7, 12), (7, 15), (7, 11), (4, 7), (7, 8), (7, 14)}",32,17288,0.010015726089477539
Graph_17_18_0,17,18,1,"{(0, 9)}",34,17400,0.008589982986450195
Graph_17_18_1,17,18,1,"{(7, 9)}",51,17676,0.004174947738647461
Graph_17_18_2,17,18,1,"{(6, 7)}",34,17400,0.00530552864074707
Graph_17_18_3,17,18,1,"{(3, 11)}",34,17400,0.006284952163696289
Graph_17_18_4,17,18,1,"{(4, 5)}",34,17400,0.00435185432434082
Graph_17_35_0,17,35,1,"{(6, 16)}",51,17897,0.005418062210083008
Graph_17_35_1,17,35,2,"{(9, 13), (4, 13)}",68,18241,0.005321979522705078
Graph_17_35_2,17,35,1,"{(14, 16)}",51,17897,0.007466793060302734
Graph_17_35_3,17,35,2,"{(8, 13), (3, 8)}",34,17553,0.006450653076171875
Graph_17_35_4,17,35,2,"{(12, 16), (12, 15)}",34,17553,0.00728297233581543
Graph_17_69_0,17,69,3,"{(11, 12), (11, 13), (3, 11)}",34,17859,0.008846521377563477
Graph_17_69_1,17,69,6,"{(0, 4), (4, 13), (3, 4), (4, 15), (4, 8), (4, 7)}",34,17859,0.007941484451293945
Graph_17_69_2,17,69,5,"{(6, 7), (2, 6), (6, 10), (6, 16), (6, 9)}",34,17859,0.008082151412963867
Graph_17_69_3,17,69,6,"{(6, 12), (6, 11), (4, 6), (6, 7), (2, 6), (6, 16)}",34,17859,0.008649110794067383
Graph_17_69_4,17,69,5,"{(8, 14), (1, 8), (8, 15), (7, 8), (2, 8)}",34,17859,0.004261493682861328
Graph_17_103_0,17,103,9,"{(5, 15), (1, 5), (5, 7), (5, 13), (5, 6), (0, 5), (5, 9), (2, 5), (5, 12)}",34,18165,0.01052236557006836
Graph_17_103_1,17,103,8,"{(5, 11), (1, 5), (5, 13), (4, 5), (5, 16), (5, 9), (2, 5), (3, 5)}",34,18165,0.010915279388427734
Graph_17_103_2,17,103,8,"{(3, 8), (8, 14), (5, 8), (8, 10), (8, 16), (8, 13), (4, 8), (2, 8)}",34,18165,0.010262012481689453
Graph_17_103_3,17,103,8,"{(5, 15), (6, 15), (1, 15), (9, 15), (4, 15), (11, 15), (13, 15), (8, 15)}",34,18165,0.011781692504882812
Graph_17_103_4,17,103,10,"{(6, 15), (6, 8), (4, 6), (0, 6), (6, 7), (6, 13), (2, 6), (6, 10), (1, 6), (6, 9)}",34,18165,0.01037454605102539
Graph_17_136_0,17,136,16,"{(0, 7), (2, 7), (3, 7), (7, 10), (7, 16), (7, 13), (5, 7), (7, 9), (6, 7), (1, 7), (7, 12), (7, 15), (7, 11), (4, 7), (7, 8), (7, 14)}",34,18462,0.008319377899169922
Graph_18_20_0,18,20,1,"{(3, 10)}",36,18450,0.010607242584228516
Graph_18_20_1,18,20,1,"{(1, 11)}",54,18755,0.003278493881225586
Graph_18_20_2,18,20,1,"{(7, 8)}",36,18450,0.005776643753051758
Graph_18_20_3,18,20,1,"{(9, 12)}",36,18450,0.005693197250366211
Graph_18_20_4,18,20,1,"{(8, 11)}",36,18450,0.005449771881103516
Graph_18_39_0,18,39,1,"{(8, 14)}",36,18621,0.00833749771118164
Graph_18_39_1,18,39,3,"{(2, 3), (3, 13), (3, 14)}",36,18621,0.00699305534362793
Graph_18_39_2,18,39,2,"{(0, 3), (0, 9)}",72,19383,0.0044879913330078125
Graph_18_39_3,18,39,2,"{(5, 9), (9, 16)}",36,18621,0.005937099456787109
Graph_18_39_4,18,39,2,"{(2, 15), (2, 10)}",54,19002,0.007237911224365234
Graph_18_77_0,18,77,6,"{(5, 8), (5, 13), (5, 6), (0, 5), (2, 5), (5, 12)}",36,18963,0.009003400802612305
