graph,nodes,edges,min_cut,solutions_tested,basic_operations,time_elapsed
Graph_18_20_2,18,20,1,1,602,0.0
Graph_18_20_3,18,20,1,1,622,0.0
Graph_18_20_4,18,20,1,1,641,0.0
Graph_18_39_0,18,39,1,2,2377,0.0
Graph_18_39_1,18,39,2,30,119541,0.03073263168334961
Graph_18_39_2,18,39,2,28,117574,0.01625990867614746
Graph_18_39_3,18,39,2,29,118383,0.013796091079711914
Graph_18_39_4,18,39,2,24,117486,0.02148127555847168
Graph_18_77_0,18,77,6,37,242353,0.03333449363708496
Graph_18_77_1,18,77,6,31,242661,0.026671886444091797
Graph_18_77_2,18,77,5,38,241600,0.03213763236999512
Graph_18_77_3,18,77,6,36,240390,0.029491424560546875
Graph_18_77_4,18,77,6,40,242350,0.03595590591430664
Graph_18_115_0,18,115,11,28,363582,0.05150294303894043
Graph_18_115_1,18,115,11,30,367665,0.0416562557220459
Graph_18_115_2,18,115,11,35,366040,0.06231212615966797
Graph_18_115_3,18,115,10,33,366848,0.05758953094482422
Graph_18_115_4,18,115,11,37,368017,0.05457782745361328
Graph_18_153_0,18,153,17,28,489383,0.08563947677612305
Graph_19_22_0,19,22,1,2,1338,0.0
Graph_19_22_1,19,22,1,1,763,0.0
Graph_19_22_2,19,22,1,1,688,0.0
Graph_19_22_3,19,22,1,1,718,0.0
Graph_19_22_4,19,22,1,2,1362,0.0
Graph_19_43_0,19,43,1,3,4127,0.0
Graph_19_43_1,19,43,2,31,137550,0.02150249481201172
Graph_19_43_2,19,43,2,26,137155,0.020592927932739258
Graph_19_43_3,19,43,1,1,1406,0.0
Graph_19_43_4,19,43,2,39,136824,0.02102041244506836
Graph_19_86_0,19,86,4,32,283317,0.043997764587402344
Graph_19_86_1,19,86,5,36,284897,0.04158663749694824
Graph_19_86_2,19,86,5,35,285171,0.04163360595703125
Graph_19_86_3,19,86,5,34,283900,0.04176497459411621
Graph_19_86_4,19,86,6,37,285875,0.04168224334716797
Graph_19_129_0,19,129,10,37,431580,0.05713152885437012
Graph_19_129_1,19,129,11,37,432202,0.0625770092010498
Graph_19_129_2,19,129,10,37,431370,0.06244635581970215
Graph_19_129_3,19,129,11,33,431526,0.06065082550048828
Graph_19_129_4,19,129,10,34,432028,0.04672360420227051
Graph_19_171_0,19,171,18,29,573941,0.08709120750427246
Graph_20_24_0,20,24,1,2,1540,0.0
Graph_20_24_1,20,24,1,1,775,0.0
Graph_20_24_2,20,24,1,1,854,0.0
Graph_20_24_3,20,24,1,1,816,0.0
Graph_20_24_4,20,24,1,1,805,0.0
Graph_20_48_0,20,48,1,2,3328,0.0077991485595703125
Graph_20_48_1,20,48,3,26,161700,0.021049976348876953
Graph_20_48_2,20,48,3,36,161127,0.020649194717407227
Graph_20_48_3,20,48,3,33,161514,0.013192892074584961
Graph_20_48_4,20,48,2,21,158735,0.03362870216369629
two_K55_with_bridge,20,51,1,1,1718,0.0
Graph_20_96_0,20,96,7,35,335589,0.047620534896850586
Graph_20_96_1,20,96,6,38,334442,0.04400300979614258
Graph_20_96_2,20,96,5,31,335677,0.04235672950744629
