graph,nodes,edges,min_cut,solutions_tested,basic_operations,time_elapsed
Graph_22_29_1,22,29,1,1325,131472,0.04202437400817871
Graph_22_29_2,22,29,1,622,62167,0.02881908416748047
Graph_22_29_3,22,29,1,868,85385,0.027927398681640625
Graph_22_29_4,22,29,1,2465,232320,0.05632281303405762
Graph_22_58_0,22,58,1,4946,481873,0.12732386589050293
Graph_22_58_1,22,58,2,6300,616693,0.16184020042419434
Graph_22_58_2,22,58,2,6300,614370,0.17153501510620117
Graph_22_58_3,22,58,2,6300,611792,0.1511828899383545
Graph_22_58_4,22,58,2,6300,609955,0.16200900077819824
Graph_22_116_0,22,116,8,6300,638638,0.1769404411315918
Graph_22_116_1,22,116,7,6300,636445,0.18058538436889648
Graph_22_116_2,22,116,7,6300,640822,0.17016911506652832
Graph_22_116_3,22,116,9,6300,643786,0.14846563339233398
Graph_22_116_4,22,116,7,6300,643104,0.1714801788330078
Graph_22_174_0,22,174,13,6300,663433,0.17406654357910156
Graph_22_174_1,22,174,12,6300,663338,0.16676735877990723
Graph_22_174_2,22,174,12,6300,659360,0.1906428337097168
Graph_22_174_3,22,174,13,6300,667661,0.17285442352294922
Graph_22_174_4,22,174,10,6300,664891,0.18055415153503418
Graph_22_231_0,22,231,21,6300,677541,0.1695237159729004
Graph_23_32_0,23,32,1,666,74419,0.03168439865112305
Graph_23_32_1,23,32,1,1362,139334,0.03885078430175781
Graph_23_32_2,23,32,1,1853,194369,0.03836512565612793
Graph_23_32_3,23,32,1,3101,317471,0.06267833709716797
Graph_23_32_4,23,32,1,812,85041,0.021500110626220703
Graph_23_64_0,23,64,1,3410,366543,0.07664942741394043
Graph_23_64_1,23,64,2,6300,667025,0.15854668617248535
Graph_23_64_2,23,64,3,6300,660214,0.1325070858001709
Graph_23_64_3,23,64,3,6300,666172,0.15071320533752441
Graph_23_64_4,23,64,1,3631,392852,0.09032773971557617
Graph_23_127_0,23,127,6,6300,701431,0.16008377075195312
Graph_23_127_1,23,127,7,6300,701129,0.15268707275390625
Graph_23_127_2,23,127,6,6300,696603,0.1666407585144043
Graph_23_127_3,23,127,7,6300,695127,0.17430543899536133
Graph_23_127_4,23,127,7,6300,703506,0.16234612464904785
Graph_23_190_0,23,190,12,6300,713343,0.14160871505737305
Graph_23_190_1,23,190,13,6300,724442,0.1774458885192871
Graph_23_190_2,23,190,12,6300,716936,0.15665912628173828
Graph_23_190_3,23,190,13,6300,715584,0.16074180603027344
Graph_23_190_4,23,190,12,6300,722882,0.20667290687561035
Graph_23_253_0,23,253,22,6300,740499,0.18118619918823242
Graph_24_35_0,24,35,1,1597,175753,0.039873361587524414
Graph_24_35_1,24,35,1,2137,246498,0.04256606101989746
Graph_24_35_2,24,35,1,1322,157423,0.050504446029663086
Graph_24_35_3,24,35,1,2542,285549,0.04586625099182129
Graph_24_35_4,24,35,1,709,83600,0.03155088424682617
Graph_24_70_0,24,70,1,4533,526688,0.09736156463623047
Graph_24_70_1,24,70,3,6300,725871,0.12271308898925781
Graph_24_70_2,24,70,3,6300,726242,0.1349482536315918
Graph_24_70_3,24,70,3,6300,722349,0.13606882095336914
Graph_24_70_4,24,70,2,6300,727379,0.13403582572937012
Graph_24_139_0,24,139,8,6300,754476,0.18958520889282227
Graph_24_139_1,24,139,8,6300,761937,0.18338346481323242
Graph_24_139_2,24,139,4,6300,763062,0.16759300231933594
Graph_24_139_3,24,139,7,6300,766777,0.1757059097290039
Graph_24_139_4,24,139,8,6300,760222,0.1608121395111084
Graph_24_208_0,24,208,14,6300,782192,0.20044851303100586
Graph_24_208_1,24,208,14,6300,785565,0.19484329223632812
Graph_24_208_2,24,208,13,6300,791888,0.2636566162109375
Graph_24_208_3,24,208,14,6300,782884,0.2082688808441162
Graph_24_208_4,24,208,14,6300,784732,0.17760753631591797
Graph_24_276_0,24,276,23,6300,807870,0.18181228637695312
