graph,nodes,edges,min_cut,edges_to_remove,solutions_tested,basic_operations,time_elapsed
Graph_125_5813_0,125,5813,81,"{(61, 116), (50, 116), (105, 116), (10, 116), (76, 116), (63, 116), (12, 116), (23, 116), (78, 116), (89, 116), (67, 116), (27, 116), (93, 116), (116, 118), (25, 116), (40, 116), (95, 116), (106, 116), (55, 116), (110, 116), (116, 120), (42, 116), (57, 116), (112, 116), (6, 116), (72, 116), (4, 116), (70, 116), (74, 116), (87, 116), (47, 116), (36, 116), (91, 116), (102, 116), (116, 124), (51, 116), (38, 116), (49, 116), (104, 116), (64, 116), (116, 117), (0, 116), (66, 116), (15, 116), (81, 116), (17, 116), (28, 116), (83, 116), (32, 116), (34, 116), (56, 116), (111, 116), (60, 116), (7, 116), (18, 116), (73, 116), (77, 116), (24, 116), (35, 116), (101, 116), (79, 116), (90, 116), (37, 116), (92, 116), (52, 116), (116, 119), (96, 116), (1, 116), (54, 116), (3, 116), (58, 116), (80, 116), (116, 121), (16, 116), (86, 116), (97, 116), (116, 123), (44, 116), (99, 116), (48, 116), (103, 116)}",81,23571,0.04915475845336914
Graph_125_5813_1,125,5813,80,"{(13, 106), (24, 106), (79, 106), (90, 106), (101, 106), (39, 106), (106, 123), (92, 106), (106, 107), (106, 116), (14, 106), (58, 106), (69, 106), (16, 106), (82, 106), (71, 106), (31, 106), (20, 106), (106, 118), (103, 106), (106, 111), (106, 120), (61, 106), (105, 106), (65, 106), (76, 106), (63, 106), (106, 113), (12, 106), (67, 106), (106, 122), (78, 106), (27, 106), (93, 106), (40, 106), (95, 106), (84, 106), (55, 106), (42, 106), (2, 106), (68, 106), (46, 106), (106, 108), (72, 106), (59, 106), (30, 106), (8, 106), (74, 106), (85, 106), (106, 110), (21, 106), (106, 119), (36, 106), (47, 106), (102, 106), (91, 106), (106, 112), (64, 106), (0, 106), (66, 106), (15, 106), (26, 106), (81, 106), (28, 106), (17, 106), (94, 106), (83, 106), (43, 106), (32, 106), (98, 106), (56, 106), (45, 106), (100, 106), (34, 106), (5, 106), (60, 106), (18, 106), (7, 106), (22, 106), (106, 121)}",80,23240,0.04227042198181152
Graph_125_7750_0,125,7750,124,"{(0, 51), (0, 115), (0, 60), (0, 5), (0, 124), (0, 69), (0, 14), (0, 78), (0, 23), (0, 87), (0, 44), (0, 108), (0, 53), (0, 117), (0, 62), (0, 7), (0, 71), (0, 16), (0, 80), (0, 37), (0, 101), (0, 46), (0, 110), (0, 55), (0, 119), (0, 64), (0, 9), (0, 73), (0, 30), (0, 94), (0, 39), (0, 103), (0, 48), (0, 112), (0, 57), (0, 2), (0, 121), (0, 66), (0, 32), (0, 96), (0, 41), (0, 105), (0, 50), (0, 114), (0, 59), (0, 123), (0, 68), (0, 25), (0, 89), (0, 34), (0, 98), (0, 43), (0, 107), (0, 52), (0, 116), (0, 61), (0, 18), (0, 82), (0, 27), (0, 91), (0, 36), (0, 100), (0, 45), (0, 109), (0, 54), (0, 118), (0, 11), (0, 75), (0, 20), (0, 84), (0, 29), (0, 93), (0, 38), (0, 102), (0, 47), (0, 111), (0, 4), (0, 13), (0, 77), (0, 22), (0, 86), (0, 31), (0, 95), (0, 40), (0, 104), (0, 113), (0, 6), (0, 70), (0, 15), (0, 79), (0, 24), (0, 88), (0, 33), (0, 97), (0, 42), (0, 106), (0, 63), (0, 8), (0, 72), (0, 17), (0, 81), (0, 26), (0, 90), (0, 35), (0, 99), (0, 56), (0, 1), (0, 120), (0, 65), (0, 10), (0, 74), (0, 19), (0, 83), (0, 28), (0, 92), (0, 49), (0, 58), (0, 3), (0, 122), (0, 67), (0, 12), (0, 76), (0, 21), (0, 85)}",124,38750,0.07675480842590332
Graph_125_7750_1,125,7750,124,"{(0, 51), (0, 115), (0, 60), (0, 5), (0, 124), (0, 69), (0, 14), (0, 78), (0, 23), (0, 87), (0, 44), (0, 108), (0, 53), (0, 117), (0, 62), (0, 7), (0, 71), (0, 16), (0, 80), (0, 37), (0, 101), (0, 46), (0, 110), (0, 55), (0, 119), (0, 64), (0, 9), (0, 73), (0, 30), (0, 94), (0, 39), (0, 103), (0, 48), (0, 112), (0, 57), (0, 2), (0, 121), (0, 66), (0, 32), (0, 96), (0, 41), (0, 105), (0, 50), (0, 114), (0, 59), (0, 123), (0, 68), (0, 25), (0, 89), (0, 34), (0, 98), (0, 43), (0, 107), (0, 52), (0, 116), (0, 61), (0, 18), (0, 82), (0, 27), (0, 91), (0, 36), (0, 100), (0, 45), (0, 109), (0, 54), (0, 118), (0, 11), (0, 75), (0, 20), (0, 84), (0, 29), (0, 93), (0, 38), (0, 102), (0, 47), (0, 111), (0, 4), (0, 13), (0, 77), (0, 22), (0, 86), (0, 31), (0, 95), (0, 40), (0, 104), (0, 113), (0, 6), (0, 70), (0, 15), (0, 79), (0, 24), (0, 88), (0, 33), (0, 97), (0, 42), (0, 106), (0, 63), (0, 8), (0, 72), (0, 17), (0, 81), (0, 26), (0, 90), (0, 35), (0, 99), (0, 56), (0, 1), (0, 120), (0, 65), (0, 10), (0, 74), (0, 19), (0, 83), (0, 28), (0, 92), (0, 49), (0, 58), (0, 3), (0, 122), (0, 67), (0, 12), (0, 76), (0, 21), (0, 85)}",124,38750,0.08333444595336914
Graph_150_1397_0,150,1397,10,"{(51, 144), (51, 83), (51, 82), (44, 51), (51, 72), (15, 51), (48, 51), (51, 142), (51, 116), (51, 112)}",10,3055,0.0010886192321777344
Graph_150_1397_1,150,1397,10,"{(52, 53), (22, 53), (53, 133), (53, 98), (53, 70), (53, 134), (53, 124), (53, 86), (12, 53), (7, 53)}",10,3055,0.008537054061889648
Graph_150_2794_0,150,2794,24,"{(47, 53), (53, 136), (16, 53), (53, 102), (53, 108), (18, 53), (7, 53), (22, 53), (53, 56), (53, 123), (53, 135), (53, 80), (42, 53), (53, 144), (44, 53), (53, 86), (53, 98), (26, 53), (53, 70), (53, 128), (53, 134), (53, 140), (19, 53), (53, 124)}",24,7500,0.0068056583404541016
Graph_150_2794_1,150,2794,24,"{(76, 98), (76, 113), (76, 147), (61, 76), (52, 76), (76, 143), (76, 140), (76, 94), (76, 100), (23, 76), (69, 76), (76, 148), (76, 87), (76, 81), (71, 76), (40, 76), (73, 76), (62, 76), (76, 138), (11, 76), (33, 76), (24, 76), (76, 83), (15, 76)}",24,7500,0.007045269012451172
Graph_150_5588_0,150,5588,59,"{(9, 39), (9, 45), (9, 103), (9, 109), (9, 42), (4, 9), (9, 112), (9, 118), (9, 115), (9, 63), (9, 127), (9, 78), (9, 142), (9, 26), (9, 145), (9, 84), (9, 148), (9, 38), (9, 96), (9, 102), (9, 41), (9, 108), (9, 114), (9, 59), (9, 117), (5, 9), (9, 65), (9, 71), (9, 16), (9, 13), (9, 132), (9, 28), (9, 147), (9, 92), (9, 31), (9, 95), (9, 34), (9, 40), (9, 98), (9, 37), (9, 104), (9, 101), (9, 46), (9, 110), (9, 116), (9, 113), (9, 119), (9, 58), (9, 128), (9, 73), (0, 9), (9, 15), (9, 134), (9, 140), (9, 79), (2, 9), (9, 18), (9, 149), (9, 97)}",59,19470,0.026213407516479492
Graph_150_5588_1,150,5588,60,"{(31, 124), (31, 69), (1, 31), (31, 139), (31, 72), (31, 84), (31, 136), (31, 148), (31, 90), (31, 35), (5, 31), (31, 50), (27, 31), (31, 114), (31, 123), (16, 31), (31, 80), (31, 141), (31, 138), (7, 31), (18, 31), (31, 147), (19, 31), (31, 92), (31, 37), (31, 95), (31, 101), (22, 31), (31, 49), (31, 46), (31, 58), (31, 61), (31, 125), (0, 31), (31, 70), (31, 64), (31, 128), (31, 134), (31, 73), (31, 131), (31, 82), (6, 31), (31, 143), (31, 149), (31, 94), (31, 33), (31, 91), (31, 97), (8, 31), (31, 42), (31, 103), (4, 31), (31, 100), (31, 106), (31, 109), (31, 54), (31, 112), (30, 31), (31, 63), (31, 60)}",60,19830,0.026221752166748047
