graph,nodes,edges,min_cut,edges_to_remove,solutions_tested,basic_operations,time_elapsed
Graph_100_2476_1,100,2476,35,"{(48, 82), (82, 87), (72, 82), (82, 93), (82, 99), (17, 82), (4, 82), (50, 82), (30, 82), (74, 82), (10, 82), (65, 82), (76, 82), (1, 82), (63, 82), (12, 82), (21, 82), (67, 82), (69, 82), (80, 82), (5, 82), (51, 82), (38, 82), (29, 82), (82, 91), (82, 85), (82, 94), (64, 82), (82, 97), (22, 82), (26, 82), (44, 82), (9, 82), (0, 82), (15, 82)}",200,30408,0.0036025047302246094
Graph_100_3713_0,100,3713,62,"{(26, 79), (16, 26), (26, 85), (26, 30), (26, 76), (26, 91), (26, 39), (26, 97), (26, 36), (20, 26), (26, 42), (26, 45), (22, 26), (26, 51), (26, 54), (26, 57), (26, 63), (9, 26), (26, 66), (26, 60), (11, 26), (26, 75), (26, 72), (26, 78), (13, 26), (24, 26), (26, 84), (15, 26), (26, 90), (26, 29), (6, 26), (4, 26), (26, 56), (17, 26), (26, 59), (8, 26), (26, 68), (19, 26), (26, 71), (26, 83), (26, 89), (26, 28), (26, 86), (26, 92), (26, 37), (26, 95), (26, 40), (26, 46), (26, 98), (23, 26), (26, 43), (26, 49), (14, 26), (3, 26), (26, 58), (26, 52), (26, 55), (5, 26), (26, 64), (26, 70), (26, 67), (25, 26)}",200,40304,0.0
Graph_100_3713_1,100,3713,64,"{(9, 51), (42, 51), (51, 56), (35, 51), (11, 51), (0, 51), (33, 51), (51, 65), (51, 62), (48, 51), (51, 68), (51, 74), (2, 51), (6, 51), (39, 51), (51, 77), (13, 51), (26, 51), (51, 80), (51, 71), (51, 83), (51, 92), (51, 95), (4, 51), (37, 51), (50, 51), (19, 51), (41, 51), (17, 51), (10, 51), (32, 51), (8, 51), (51, 58), (43, 51), (1, 51), (51, 52), (51, 70), (51, 73), (51, 82), (45, 51), (21, 51), (51, 85), (51, 88), (14, 51), (12, 51), (36, 51), (51, 94), (5, 51), (51, 54), (51, 60), (51, 63), (25, 51), (51, 72), (29, 51), (51, 75), (49, 51), (51, 81), (16, 51), (51, 78), (7, 51), (31, 51), (38, 51), (51, 87), (51, 90)}",300,60506,0.00829315185546875
Graph_100_4950_0,100,4950,99,"{(15, 94), (26, 94), (81, 94), (28, 94), (17, 94), (83, 94), (4, 94), (32, 94), (43, 94), (45, 94), (34, 94), (56, 94), (5, 94), (94, 96), (60, 94), (7, 94), (18, 94), (62, 94), (73, 94), (22, 94), (77, 94), (94, 98), (75, 94), (35, 94), (0, 94), (79, 94), (13, 94), (24, 94), (90, 94), (39, 94), (37, 94), (92, 94), (41, 94), (52, 94), (1, 94), (54, 94), (14, 94), (3, 94), (58, 94), (69, 94), (80, 94), (16, 94), (71, 94), (82, 94), (20, 94), (31, 94), (86, 94), (44, 94), (33, 94), (9, 94), (88, 94), (48, 94), (61, 94), (50, 94), (10, 94), (65, 94), (76, 94), (63, 94), (12, 94), (23, 94), (67, 94), (89, 94), (78, 94), (27, 94), (93, 94), (29, 94), (40, 94), (84, 94), (55, 94), (42, 94), (94, 95), (2, 94), (68, 94), (46, 94), (57, 94), (6, 94), (72, 94), (59, 94), (70, 94), (8, 94), (19, 94), (74, 94), (85, 94), (94, 97), (30, 94), (21, 94), (87, 94), (36, 94), (47, 94), (91, 94), (94, 99), (51, 94), (49, 94), (25, 94), (38, 94), (53, 94), (64, 94), (11, 94), (66, 94)}",200,50200,0.015756845474243164
Graph_100_4950_1,100,4950,99,"{(35, 97), (13, 97), (90, 97), (24, 97), (79, 97), (39, 97), (37, 97), (92, 97), (41, 97), (52, 97), (96, 97), (1, 97), (54, 97), (3, 97), (14, 97), (58, 97), (80, 97), (69, 97), (16, 97), (71, 97), (82, 97), (31, 97), (20, 97), (86, 97), (33, 97), (44, 97), (88, 97), (48, 97), (97, 99), (50, 97), (61, 97), (10, 97), (65, 97), (76, 97), (63, 97), (12, 97), (23, 97), (67, 97), (78, 97), (89, 97), (27, 97), (93, 97), (25, 97), (29, 97), (40, 97), (95, 97), (84, 97), (55, 97), (42, 97), (2, 97), (46, 97), (57, 97), (68, 97), (6, 97), (72, 97), (4, 97), (59, 97), (70, 97), (30, 97), (8, 97), (85, 97), (19, 97), (74, 97), (21, 97), (97, 98), (87, 97), (36, 97), (47, 97), (91, 97), (51, 97), (38, 97), (49, 97), (53, 97), (64, 97), (0, 97), (11, 97), (66, 97), (15, 97), (26, 97), (81, 97), (17, 97), (28, 97), (83, 97), (94, 97), (32, 97), (43, 97), (34, 97), (45, 97), (56, 97), (5, 97), (60, 97), (7, 97), (18, 97), (62, 97), (73, 97), (22, 97), (77, 97), (9, 97), (75, 97)}",200,50200,0.0010027885437011719
Graph_125_969_0,125,969,8,"{(24, 94), (74, 94), (64, 94), (94, 122), (1, 94), (94, 115), (37, 94), (28, 94)}",375,36253,0.00756382942199707
Graph_125_969_1,125,969,8,"{(59, 71), (44, 71), (17, 71), (7, 71), (18, 71), (55, 71), (71, 111), (71, 88)}",250,24127,0.005013227462768555
Graph_125_1938_0,125,1938,21,"{(6, 85), (6, 30), (6, 106), (6, 45), (6, 124), (6, 75), (6, 17), (6, 23), (6, 84), (6, 26), (6, 32), (3, 6), (6, 44), (6, 111), (6, 114), (6, 53), (6, 83), (6, 22), (6, 104), (6, 107), (6, 55)}",375,47881,0.010132312774658203
Graph_125_1938_1,125,1938,21,"{(4, 49), (4, 113), (4, 58), (4, 64), (4, 67), (4, 6), (4, 21), (4, 97), (4, 48), (4, 115), (4, 20), (4, 23), (4, 96), (4, 102), (4, 56), (4, 7), (4, 71), (4, 13), (4, 77), (4, 31), (4, 104)}",250,31879,0.008346796035766602
Graph_125_3876_0,125,3876,50,"{(26, 85), (26, 30), (26, 27), (26, 39), (26, 97), (26, 36), (20, 26), (26, 100), (22, 26), (26, 51), (26, 109), (26, 63), (26, 121), (9, 26), (26, 66), (26, 124), (0, 26), (26, 75), (11, 26), (26, 69), (26, 72), (26, 87), (26, 96), (6, 26), (26, 35), (26, 105), (26, 111), (26, 56), (26, 65), (26, 68), (8, 26), (1, 26), (26, 28), (26, 37), (26, 95), (26, 34), (26, 40), (26, 98), (23, 26), (26, 49), (26, 107), (26, 113), (3, 26), (26, 58), (14, 26), (26, 119), (26, 64), (26, 67), (26, 73), (25, 26)}",250,47383,0.0029420852661132812
Graph_125_3876_1,125,3876,48,"{(33, 97), (33, 36), (13, 33), (33, 42), (33, 39), (33, 103), (33, 54), (33, 51), (33, 121), (33, 60), (33, 124), (33, 72), (17, 33), (19, 33), (33, 90), (33, 35), (33, 99), (33, 44), (33, 96), (33, 108), (33, 50), (33, 56), (33, 114), (33, 53), (33, 59), (21, 33), (33, 120), (12, 33), (33, 71), (3, 33), (27, 33), (33, 77), (33, 83), (33, 89), (33, 95), (33, 98), (33, 104), (33, 43), (33, 113), (33, 52), (29, 33), (33, 46), (33, 61), (31, 33), (33, 82), (9, 33), (33, 88), (33, 94)}",250,47383,0.017148971557617188
Graph_125_5813_0,125,5813,81,"{(50, 116), (61, 116), (105, 116), (10, 116), (76, 116), (63, 116), (23, 116), (12, 116), (89, 116), (78, 116), (67, 116), (27, 116), (116, 118), (93, 116), (25, 116), (40, 116), (95, 116), (106, 116), (55, 116), (110, 116), (116, 120), (42, 116), (57, 116), (112, 116), (6, 116), (72, 116), (4, 116), (70, 116), (74, 116), (87, 116), (36, 116), (47, 116), (91, 116), (102, 116), (116, 124), (51, 116), (49, 116), (38, 116), (104, 116), (64, 116), (116, 117), (0, 116), (66, 116), (15, 116), (81, 116), (17, 116), (28, 116), (83, 116), (32, 116), (34, 116), (56, 116), (111, 116), (60, 116), (7, 116), (18, 116), (73, 116), (77, 116), (35, 116), (24, 116), (90, 116), (101, 116), (79, 116), (37, 116), (92, 116), (52, 116), (116, 119), (96, 116), (1, 116), (54, 116), (3, 116), (80, 116), (58, 116), (116, 121), (16, 116), (86, 116), (97, 116), (116, 123), (44, 116), (99, 116), (48, 116), (103, 116)}",250,62879,0.017732620239257812
Graph_125_5813_1,125,5813,80,"{(13, 106), (24, 106), (79, 106), (90, 106), (101, 106), (39, 106), (92, 106), (106, 123), (106, 107), (106, 116), (14, 106), (58, 106), (69, 106), (16, 106), (71, 106), (82, 106), (20, 106), (31, 106), (106, 118), (103, 106), (106, 111), (106, 120), (61, 106), (105, 106), (65, 106), (76, 106), (63, 106), (106, 113), (12, 106), (67, 106), (106, 122), (78, 106), (27, 106), (93, 106), (40, 106), (84, 106), (95, 106), (55, 106), (42, 106), (2, 106), (46, 106), (68, 106), (106, 108), (72, 106), (59, 106), (30, 106), (8, 106), (74, 106), (85, 106), (106, 110), (21, 106), (106, 119), (36, 106), (47, 106), (91, 106), (102, 106), (106, 112), (64, 106), (0, 106), (66, 106), (15, 106), (26, 106), (81, 106), (17, 106), (28, 106), (83, 106), (94, 106), (32, 106), (43, 106), (98, 106), (34, 106), (56, 106), (100, 106), (45, 106), (5, 106), (60, 106), (7, 106), (18, 106), (22, 106), (106, 121)}",250,62879,0.015664339065551758
